,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
USB_H.N,10.15236264,0,0,10.60287983,0,0,9.351785935,0,0,9.706053607,0,0,9.466150391,0,0,9.770310459,0,0,10.15322287,0,0,10.21437181,0,0,10.09210382,0,0,10.27746148,0,0,10.64925263,0,0,10.53405737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32563151,0,0,0,0,0,0,0,0,11.54392687,0,0,11.58602226,0,0,11.57899954,0,0,11.3641505,0,0,11.22256531,0,0,11.11466157,0,0,11.19596028,0,0,11.12157141,0,0,11.13510095,0,0,11.25091459,0,0,11.21171937,0,0,11.18253081,0,0,11.11113696,0,0,0,0,0,11.15295589,0,0,11.12720523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45964567,0,0,0,0
USB_M.N,10.15236264,0,0,10.60287983,0,0,9.351785935,0,0,9.706053607,0,0,9.466150391,0,0,9.770310459,0,0,10.15322287,0,0,10.21437181,0,0,10.09210382,0,0,10.27746148,0,0,10.64925263,0,0,10.53405737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32563151,0,0,0,0,0,0,0,0,11.54392687,0,0,11.58602226,0,0,11.57899954,0,0,11.3641505,0,0,11.22256531,0,0,11.11466157,0,0,11.19596028,0,0,11.12157141,0,0,11.13510095,0,0,11.25091459,0,0,11.21171937,0,0,11.18253081,0,0,11.11113696,0,0,0,0,0,11.15295589,0,0,11.12720523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45964567,0,0,0,0
USB_N.N,10.15236264,0,0,10.60287983,0,0,9.351785935,0,0,9.706053607,0,0,9.466150391,0,0,9.770310459,0,0,10.15322287,0,0,10.21437181,0,0,10.09210382,0,0,10.27746148,0,0,10.64925263,0,0,10.53405737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32563151,0,0,0,0,0,0,0,0,11.54392687,0,0,11.58602226,0,0,11.57899954,0,0,11.3641505,0,0,11.22256531,0,0,11.11466157,0,0,11.19596028,0,0,11.12157141,0,0,11.13510095,0,0,11.25091459,0,0,11.21171937,0,0,11.18253081,0,0,11.11113696,0,0,0,0,0,11.15295589,0,0,11.12720523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45964567,0,0,0,0
USB_O.N,10.15236264,0,0,10.60287983,0,0,9.351785935,0,0,9.706053607,0,0,9.466150391,0,0,9.770310459,0,0,10.15322287,0,0,10.21437181,0,0,10.09210382,0,0,10.27746148,0,0,10.64925263,0,0,10.53405737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32563151,0,0,0,0,0,0,0,0,11.54392687,0,0,11.58602226,0,0,11.57899954,0,0,11.3641505,0,0,11.22256531,0,0,11.11466157,0,0,11.19596028,0,0,11.12157141,0,0,11.13510095,0,0,11.25091459,0,0,11.21171937,0,0,11.18253081,0,0,11.11113696,0,0,0,0,0,11.15295589,0,0,11.12720523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45964567,0,0,0,0
USB_P.N,10.15236264,0,0,10.60287983,0,0,9.351785935,0,0,9.706053607,0,0,9.466150391,0,0,9.770310459,0,0,10.15322287,0,0,10.21437181,0,0,10.09210382,0,0,10.27746148,0,0,10.64925263,0,0,10.53405737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32563151,0,0,0,0,0,0,0,0,11.54392687,0,0,11.58602226,0,0,11.57899954,0,0,11.3641505,0,0,11.22256531,0,0,11.11466157,0,0,11.19596028,0,0,11.12157141,0,0,11.13510095,0,0,11.25091459,0,0,11.21171937,0,0,11.18253081,0,0,11.11113696,0,0,0,0,0,11.15295589,0,0,11.12720523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45964567,0,0,0,0
USCR.O,14.18848593,0,0,13.03728494,0,0,11.99753811,0,0,0.054148617,0,0,-4.149401655,0,0,-10.93331537,0,0,-14.0237104,0,0,44.0714993,0,0,46.67478297,0,0,39.88889498,0,0,37.59344451,0,0,40.58164042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.64839457,0,0,0,0,0,0,0,0,29.03272403,0,0,27.7864617,0,0,26.10587587,0,0,25.66170425,0,0,27.181968,0,0,23.58212146,0,0,20.55804189,0,0,19.90484286,0,0,18.56168587,0,0,23.26182655,0,0,19.31628046,0,0,17.91188165,0,0,23.10637705,0,0,0,0,0,23.96598471,0,0,21.77383611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.55069732,0,0,0,0
USDP.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.57815398,0,0,0,0,0,0,0,0,0,0,0,2.574245676,0,0,0,0,0,10.32471672,0,0,9.221401022,0,0,35.86060334,0,0,34.37240344,0,0,31.51170854,0,0,33.69711467,0,0,15.65281946,0,0,14.60552925,0,0,14.50218471,0,0,16.67111507,0,0,0,0,0,15.31483347,0,0,25.62363197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.73295924,0,0,0,0
USEG.O,83.33494788,0,0,92.10535196,0,0,91.42431471,0,0,100.8233217,0,0,113.9542887,0,0,105.0604805,0,0,95.25549822,0,0,95.33485562,0,0,87.00700381,0,0,88.58136492,0,0,85.1738106,0,0,80.53952188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.14153418,0,0,0,0,0,0,0,0,91.82343221,0,0,90.16999322,0,0,86.57585237,0,0,90.90048181,0,0,90.36797966,0,0,89.86051727,0,0,85.93562544,0,0,84.99085943,0,0,80.0310536,0,0,51.96789576,0,0,33.05733703,0,0,20.64147528,0,0,20.50429799,0,0,0,0,0,21.4532872,0,0,23.44982273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFD.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.89409164,0,0,0,0,0,0,0,0,0,0,0,19.10511961,0,0,0,0,0,0,0,0,22.13063551,0,0,21.91831115,0,0,14.24540739,0,0,26.4391943,0,0,27.83312487,0,0,0,0,0,28.52254636,0,0,29.07288529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.55384277,0,0,0,0
USG.N,36.48775895,0,0,35.30665404,0,0,37.34500365,0,0,36.62286139,0,0,27.296742,0,0,23.10510003,0,0,21.04065965,0,0,20.30662424,0,0,17.90052053,0,0,15.33258174,0,0,14.85762616,0,0,10.82876119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189633375,0,0,0,0,0,0,0,0,1.421508035,0,0,19.40979617,0,0,17.34015345,0,0,20.76628352,0,0,19.98953428,0,0,10.81009296,0,0,10.71428571,0,0,12.8683428,0,0,14.31742508,0,0,33.44201211,0,0,35.17960603,0,0,37.5900144,0,0,40.45194934,0,0,0,0,0,55.33464016,0,0,55.97269625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.6101309,0,0,0,0
