,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
SBBP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.654985025,0,0,0,0
SBBX.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.03448276,0,0,0,0,0,0,0,0,-3.727506427,0,0,8.520179372,0,0,30.53278689,0,0,26.23421355,0,0,26.33437991,0,0,27.79783394,0,0,28.31325301,0,0,30.34901366,0,0,29.9220518,0,0,30.71161049,0,0,32.99276288,0,0,33.07557995,0,0,33.57688476,0,0,0,0,0,29.23997185,0,0,30.84534308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56339547,0,0,0,0
SBCF.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-490.0788514,0,0,-348.0265426,0,0,38.660619,0,0,40.85553997,0,0,41.76959716,0,0,44.375,0,0,37.66358123,0,0,37.8516624,0,0,37.83533408,0,0,37.92475048,0,0,38.0409311,0,0,36.2364559,0,0,34.25483342,0,0,0,0,0,34.05990017,0,0,33.99610796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1441497,0,0,0,0
SBCP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.13793103,0,0,27.24358974,0,0,31.24087591,0,0,0,0,0,37.2835706,0,0,36.15556383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBFG.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.60744476,0,0,0,0,0,0,0,0,30.18239214,0,0,30.11546724,0,0,24.96171516,0,0,27.57161458,0,0,28.01848642,0,0,28.37506805,0,0,29.86404126,0,0,30.55168293,0,0,30.87740385,0,0,30.88088542,0,0,31.21363259,0,0,31.57619131,0,0,31.81866104,0,0,0,0,0,31.88653452,0,0,32.07249803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42675159,0,0,0,0
SBFGP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.60744476,0,0,0,0,0,0,0,0,30.18239214,0,0,30.11546724,0,0,24.96171516,0,0,27.57161458,0,0,28.01848642,0,0,28.37506805,0,0,29.86404126,0,0,30.55168293,0,0,30.87740385,0,0,30.88088542,0,0,31.21363259,0,0,31.57619131,0,0,31.81866104,0,0,0,0,0,31.88653452,0,0,32.07249803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42675159,0,0,0,0
SBGI.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.95441273,0,0,0,0,0,0,0,0,0,0,0,39.0956136,0,0,34.8894696,0,0,35.36471554,0,0,27.78811091,0,0,31.1735515,0,0,39.81048397,0,0,35.8220116,0,0,28.95155325,0,0,24.67738555,0,0,32.21455209,0,0,33.72198167,0,0,33.89681137,0,0,0,0,0,28.78568119,0,0,31.41007186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.53202696,0,0,0,0
SBGL.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.89687924,0,0,0,0,0,0,0,0,0,0,0,15.00938086,0,0,0,0,0,38.5511593,0,0,0,0,0,35.46466809,0,0,0,0,0,-6.649937265,0,0,0,0,0,41.20603015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH.N,37.33632743,0,0,39.61873966,0,0,39.18441838,0,0,38.8717071,0,0,39.86129819,0,0,37.9046442,0,0,38.08625034,0,0,37.30091275,0,0,36.90315335,0,0,34.84542316,0,0,35.87824777,0,0,36.05299693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.42913978,0,0,0,0,0,0,0,0,37.02351779,0,0,36.71628698,0,0,37.84296493,0,0,38.08296214,0,0,37.29434828,0,0,37.03449635,0,0,36.88257946,0,0,37.65546781,0,0,37.96631796,0,0,37.88720263,0,0,36.9432171,0,0,36.97523988,0,0,36.88565595,0,0,0,0,0,38.42131968,0,0,38.29990867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.42941963,0,0,0,0
SBLK.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104348421,0,0,0,0
