,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
CDRB.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-705.7384351,0,0,-903.5614219,0,0,0,0,0,-76.55447703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDTI.O,-49.43956537,0,0,-17.10970824,0,0,-25.09360746,0,0,-38.88082902,0,0,-54.54421117,0,0,18.7012987,0,0,7.644897475,0,0,-31.67990585,0,0,-39.44344192,0,0,-7.554720395,0,0,-19.38565401,0,0,-23.87435199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.1812044,0,0,0,0,0,0,0,0,-16.52272278,0,0,-26.77328706,0,0,-15.51874102,0,0,-20.16048144,0,0,-26.60776245,0,0,-40.96623445,0,0,-14.53175974,0,0,-26.00969691,0,0,-36.37270977,0,0,-39.45172549,0,0,-12.2137741,0,0,-5.975895547,0,0,-67.37728984,0,0,0,0,0,-18.80523582,0,0,-22.01005343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDTX.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1515.159236,0,0,-319.819606,0,0,-820.3992514,0,0,-82.57661223,0,0,-131.4912388,0,0,-20.62340015,0,0,-39.8354366,0,0,-64.31223934,0,0,0,0,0,-83.32089552,0,0,-242.8600299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-609.0374144,0,0,0,0
CDVI.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDW.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959935419,0,0,2.791558492,0,0,5.061535236,0,0,6.463509472,0,0,1.17991416,0,0,2.898443181,0,0,4.803996351,0,0,0,0,0,0.872218479,0,0,2.911931298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.336227612,0,0,0,0
CDXC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.99728235,0,0,0,0,0,-16.58592508,0,0,-14.95346697,0,0,-26.58991186,0,0,1.912089368,0,0,1.252917952,0,0,-5.262439268,0,0,0,0,0,-10.15786292,0,0,-25.4417287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180.3265059,0,0,0,0
CDXS.O,57.10579764,0,0,0,0,0,0,0,0,15.8250851,0,0,20.68322222,0,0,1.153065436,0,0,52.73079022,0,0,25.29747403,0,0,39.25362502,0,0,-4.330630069,0,0,-9.841752574,0,0,-12.27302965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.64703967,0,0,0,0,0,0,0,0,-58.5912715,0,0,-78.91890859,0,0,-18.34374011,0,0,-48.0222427,0,0,-64.74158053,0,0,-65.37321107,0,0,-27.20003912,0,0,-54.16449701,0,0,-22.55774096,0,0,-35.25308656,0,0,-36.3238626,0,0,-26.3950053,0,0,-14.6685347,0,0,0,0,0,-45.05375045,0,0,-73.52508361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.71942446,0,0,0,0
CDY.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.84189795,0,0,-1.60501801,0,0,0,0,0,-32.13230678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDZI.O,-36.97660635,0,0,-7.596352856,0,0,-17.72154782,0,0,-25.33570094,0,0,-33.16251914,0,0,-12.52631199,0,0,-20.10182098,0,0,-27.62636125,0,0,-37.6459167,0,0,-9.782296183,0,0,-18.15060316,0,0,-27.19418633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.00941746,0,0,0,0,0,0,0,0,-32.84548048,0,0,-44.85166139,0,0,-8.938058153,0,0,-17.56889529,0,0,-26.2643596,0,0,-36.20760741,0,0,-9.267872524,0,0,-20.69466203,0,0,-31.95259519,0,0,-45.85608983,0,0,-16.73198387,0,0,-27.52311065,0,0,-36.37594347,0,0,0,0,0,-13.44570647,0,0,-38.61665584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.67114837,0,0,0,0
CE.N,4.111986002,0,0,-0.315631658,0,0,1.450169701,0,0,7.319794689,0,0,7.299912049,0,0,0.196919615,0,0,2.45416079,0,0,4.350197736,0,0,5.1302987,0,0,1.839259115,0,0,4.389592213,0,0,6.586056084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.686023808,0,0,0,0,0,0,0,0,5.433659515,0,0,13.69828927,0,0,2.441302859,0,0,5.632233707,0,0,8.826279374,0,0,7.892739691,0,0,3.102201775,0,0,5.738824907,0,0,7.867738352,0,0,4.067978054,0,0,3.571676742,0,0,6.717256886,0,0,10.39910062,0,0,0,0,0,2.49948781,0,0,5.436638214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.17581772,0,0,0,0
CEA.N,-22.98754399,0,0,0.059706711,0,0,1.452851919,0,0,1.76968613,0,0,0.247596748,0,0,0.999518273,0,0,2.1221108,0,0,6.154246392,0,0,6.042601864,0,0,1.060138989,0,0,2.311163712,0,0,5.847641379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737488695,0,0,0,0,0,0,0,0,2.824737007,0,0,1.887101316,0,0,-0.14868803,0,0,0.008436026,0,0,1.42625904,0,0,2.280401605,0,0,0.951917225,0,0,2.106551778,0,0,3.109515093,0,0,2.599486061,0,0,1.398936013,0,0,1.680357505,0,0,3.460531383,0,0,0,0,0,1.447672275,0,0,2.058087273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18208385,0,0,0,0
CEB.N,9.663220678,0,0,3.300476691,0,0,4.685379059,0,0,8.396545406,0,0,11.10988017,0,0,3.223929075,0,0,6.156363409,0,0,8.085625358,0,0,10.10229187,0,0,2.97715348,0,0,5.71347319,0,0,9.382234614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.491539344,0,0,0,0,0,0,0,0,1.588344225,0,0,2.54376965,0,0,0.604293276,0,0,0.098059961,0,0,1.845861543,0,0,4.091054994,0,0,1.616647831,0,0,3.505342494,0,0,6.227901916,0,0,7.514186348,0,0,0.384222276,0,0,0.947249919,0,0,1.548563626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
